27.bpl.log,U
133.bpl.log,Y
107.bpl.log,U
163.bpl.log,Y
169.bpl.log,U
146.bpl.log,U
158.bpl.log,Y
73.bpl.log,U
TwoWay_true-termination.c.bpl.log,U
30.bpl.log,Y
156.bpl.log,U
164.bpl.log,Y
11.bpl.log,N
97.bpl.log,U
102.bpl.log,U
43.bpl.log,N
85.bpl.log,U
160.bpl.log,Y
51.bpl.log,U
22.bpl.log,U
recHanoi02_true-termination.c.bpl.log,U
57.bpl.log,Y
165.bpl.log,Y
126.bpl.log,U
80.bpl.log,U
104.bpl.log,U
94.bpl.log,U
100.bpl.log,U
78.bpl.log,U
136.bpl.log,U
121.bpl.log,U
42.bpl.log,N
TerminatorRec02_true-termination.c.bpl.log,U
132.bpl.log,Y
50.bpl.log,U
46.bpl.log,U
63.bpl.log,N
151.bpl.log,Y
9.bpl.log,N
81.bpl.log,U
40.bpl.log,N
29.bpl.log,Y
127.bpl.log,Y
84.bpl.log,U
101.bpl.log,U
161.bpl.log,U
106.bpl.log,U
79.bpl.log,N
116.bpl.log,U
123.bpl.log,N
88.bpl.log,U
75.bpl.log,U
140.bpl.log,N
38.bpl.log,U
52.bpl.log,Y
2.bpl.log,U
129.bpl.log,U
59.bpl.log,N
98.bpl.log,U
171.bpl.log,Y
21.bpl.log,U
170.bpl.log,U
71.bpl.log,U
105.bpl.log,U
68.bpl.log,U
93.bpl.log,U
0.bpl.log,N
155.bpl.log,U
53.bpl.log,N
8.bpl.log,U
131.bpl.log,N
48.bpl.log,N
108.bpl.log,U
60.bpl.log,N
119.bpl.log,N
58.bpl.log,Y
82.bpl.log,U
31.bpl.log,U
96.bpl.log,U
157.bpl.log,Y
112.bpl.log,U
95.bpl.log,N
55.bpl.log,Y
120.bpl.log,N
32.bpl.log,U
24.bpl.log,U
150.bpl.log,Y
168.bpl.log,Y
6.bpl.log,U
13.bpl.log,N
26.bpl.log,U
65.bpl.log,N
61.bpl.log,Y
87.bpl.log,N
122.bpl.log,N
99.bpl.log,U
153.bpl.log,U
148.bpl.log,Y
115.bpl.log,Y
66.bpl.log,U
113.bpl.log,N
java_LogBuiltIn_true-termination.c.bpl.log,E
49.bpl.log,N
167.bpl.log,Y
90.bpl.log,N
117.bpl.log,N
23.bpl.log,U
35.bpl.log,N
7.bpl.log,U
109.bpl.log,U
62.bpl.log,U
4.bpl.log,U
162.bpl.log,Y
10.bpl.log,N
144.bpl.log,U
125.bpl.log,N
152.bpl.log,U
47.bpl.log,N
147.bpl.log,U
103.bpl.log,U
1.bpl.log,Y
86.bpl.log,U
70.bpl.log,N
83.bpl.log,Y
72.bpl.log,U
25.bpl.log,U
154.bpl.log,U
74.bpl.log,U
149.bpl.log,Y
159.bpl.log,Y
34.bpl.log,U
67.bpl.log,U
12.bpl.log,N
36.bpl.log,Y
rec_counter1_true-termination.c.bpl.log,E
89.bpl.log,N
166.bpl.log,Y
39.bpl.log,N
15.bpl.log,U
